,Team,Year,Week,Win,Team H/A/N,Opponent,Team Conference,Opponent Conference,Team YPPA 8 Game Avg,Team YPRA 8 Game Avg,Team TOP 8 Game Avg,Team TO 8 Game Avg,Team Points 8 Game Avg,Team Pen Yards 8 Game Avg,Opponent YPPA 8 Game Avg,Opponent YPRA 8 Game Avg,Opponent TOP 8 Game Avg,Opponent TO 8 Game Avg,Opponent Points 8 Game Avg,Opponent Pen Yards 8 Game Avg
0,TCU,2011,2,1,A,Air Force,MWC,MWC,7.26,5.15,1972.5,1.0,41.5,48.5,7.95,5.79,1641.0,2.0,19.0,55.0
1,Navy,2011,5,0,H,Air Force,Independent,MWC,8.783333333333333,5.733333333333333,2007.3333333333333,1.6666666666666667,31.666666666666668,67.33333333333333,10.775,5.615,1397.5,1.5,27.0,46.5
2,Notre Dame,2011,6,1,H,Air Force,Independent,MWC,7.021666666666667,5.9383333333333335,1852.0,2.5,32.333333333333336,70.83333333333333,9.586666666666668,5.760000000000001,1580.3333333333333,1.6666666666666667,29.0,54.333333333333336
3,San Diego State,2011,7,1,A,Air Force,MWC,MWC,7.122,4.796000000000001,1619.4,2.0,25.4,37.6,8.7025,5.3575,1685.25,2.0,28.5,48.25
4,Boise State,2011,8,1,H,Air Force,MWC,MWC,8.584285714285715,4.7,1964.2857142857142,1.1428571428571428,43.285714285714285,46.857142857142854,8.656,5.098,1783.8,2.0,28.0,43.8
5,New Mexico,2011,9,0,H,Air Force,MWC,MWC,5.025714285714286,3.5542857142857143,1714.857142857143,2.142857142857143,8.714285714285714,47.285714285714285,8.658333333333333,5.163333333333333,1790.3333333333333,1.8333333333333333,30.333333333333332,47.5
6,Army,2011,10,0,A,Air Force,Independent,MWC,7.0424999999999995,5.405,2046.25,2.5,24.5,36.375,8.874285714285715,4.898571428571429,1776.7142857142858,1.8571428571428572,29.428571428571427,47.0
7,Wyoming,2011,11,1,A,Air Force,MWC,MWC,6.387142857142857,4.35,1815.2857142857142,1.0,24.285714285714285,44.714285714285715,7.74,4.905,1788.0,2.125,27.875,47.875
8,UNLV,2011,12,0,A,Air Force,MWC,MWC,4.35,4.172499999999999,1813.125,1.25,18.875,63.125,7.977499999999999,5.03,1790.5,2.0,31.125,45.375
9,Colorado State,2011,13,0,H,Air Force,MWC,MWC,6.62375,4.31875,1770.625,2.25,22.125,55.25,8.58,5.227500000000001,1877.75,2.0,32.375,42.5
10,Toledo,2011,17,1,N,Air Force,MAC,MWC,8.69125,5.452499999999999,2016.875,1.125,48.5,66.25,8.582500000000001,5.035000000000001,1891.125,2.0,33.375,35.625
11,Michigan,2012,2,1,H,Air Force,Big 10,MWC,8.349999999999998,4.383749999999999,1890.125,1.75,29.5,43.0,8.66125,5.026250000000001,1906.375,1.625,33.125,36.25
12,UNLV,2012,4,1,H,Air Force,MWC,MWC,4.946249999999999,4.27375,1825.0,1.25,20.875,56.75,8.852500000000001,5.196250000000001,1842.375,1.5,34.25,36.0
13,Colorado State,2012,5,0,A,Air Force,MWC,MWC,7.1225000000000005,4.654999999999999,1716.125,2.0,18.375,68.625,9.193750000000001,5.366250000000001,1826.25,1.625,34.25,31.5
14,Navy,2012,6,1,A,Air Force,Independent,MWC,7.2799999999999985,4.510000000000001,1856.375,1.875,20.25,20.125,9.307500000000001,5.661250000000001,1827.5,1.75,33.875,27.25
15,Wyoming,2012,7,0,H,Air Force,MWC,MWC,7.098750000000001,4.043750000000001,1713.75,2.0,24.25,56.25,11.095,5.60625,1780.75,1.375,35.25,21.75
16,New Mexico,2012,8,0,A,Air Force,MWC,MWC,4.73,4.570000000000001,2004.0,1.125,17.25,38.875,11.2025,5.47125,1744.625,1.625,33.125,20.5
17,Nevada,2012,9,0,A,Air Force,MWC,MWC,7.928749999999998,4.535000000000002,1810.25,1.5,36.75,59.5,11.3825,5.296250000000001,1772.75,1.75,33.5,23.0
18,Army,2012,10,1,H,Air Force,Independent,MWC,7.747499999999997,5.56375,2026.875,1.25,29.5,32.375,11.491249999999999,5.032500000000001,1695.875,2.125,31.0,25.5
19,San Diego State,2012,11,1,H,Air Force,MWC,MWC,6.986249999999999,4.446250000000002,1897.125,1.75,34.5,44.75,11.13625,5.111250000000001,1684.75,2.625,29.0,22.625
20,Hawaii,2012,12,0,A,Air Force,MWC,MWC,5.233749999999999,2.425,1666.125,3.125,14.875,51.875,9.88625,5.055000000000001,1715.125,2.75,27.25,22.125
21,Fresno State,2012,13,1,H,Air Force,MWC,MWC,8.288750000000002,4.037499999999998,1863.125,1.5,40.75,66.5,9.24875,4.666250000000001,1711.625,2.875,23.875,20.0
22,Rice,2012,17,1,N,Air Force,CUSA,MWC,7.9087499999999995,3.69875,2041.125,1.75,30.375,50.625,8.36375,4.390000000000001,1664.5,2.875,23.0,24.375
23,Utah State,2013,2,1,A,Air Force,MWC,MWC,7.668749999999999,6.16125,1627.625,1.25,38.125,70.375,7.351249999999999,4.240000000000001,1687.5,2.875,22.0,28.5
24,Boise State,2013,3,1,H,Air Force,MWC,MWC,7.4662500000000005,4.731249999999999,1824.5,1.0,32.25,37.875,7.249999999999999,3.9787500000000007,1739.0,2.625,21.0,28.25
25,Wyoming,2013,4,1,A,Air Force,MWC,MWC,8.748750000000001,4.211250000000001,1632.125,0.75,34.375,52.125,5.561249999999999,4.035000000000001,1715.5,2.5,17.875,31.5
26,Nevada,2013,5,1,H,Air Force,MWC,MWC,6.799999999999997,4.505000000000001,1900.125,1.625,29.875,43.125,5.435,4.653750000000001,1745.375,2.0,20.5,29.625
27,Navy,2013,6,1,H,Air Force,Independent,MWC,8.175,5.2212499999999995,1865.75,1.0,29.0,30.25,5.5962499999999995,4.571250000000001,1724.375,1.875,20.625,28.75
28,San Diego State,2013,7,1,A,Air Force,MWC,MWC,7.1225,4.507499999999999,1842.25,2.5,27.125,50.375,7.1587499999999995,4.381250000000001,1686.0,1.75,20.5,31.875
29,Notre Dame,2013,9,1,A,Air Force,Independent,MWC,7.935000000000002,4.213750000000001,1763.625,1.0,27.875,48.625,6.88125,4.471250000000001,1709.0,1.625,19.875,35.25
30,Army,2013,10,0,A,Air Force,Independent,MWC,5.697499999999995,6.120000000000001,2055.0,1.25,24.875,34.5,8.116249999999999,4.971250000000001,1711.5,1.375,23.375,33.5
31,New Mexico,2013,11,1,H,Air Force,MWC,MWC,7.881250000000002,6.385000000000002,1901.875,1.125,36.625,33.625,8.3875,5.226250000000001,1688.875,1.25,25.5,31.875
32,UNLV,2013,13,1,A,Air Force,MWC,MWC,7.144999999999999,4.300000000000001,1857.25,1.0,32.0,33.375,7.822499999999999,5.292500000000001,1647.125,1.25,25.625,33.375
33,Colorado State,2013,14,1,H,Air Force,MWC,MWC,8.49625,5.1462499999999975,1899.125,1.25,38.25,37.375,7.809999999999998,4.971250000000001,1609.5,1.25,24.375,28.25
34,Wyoming,2014,2,1,H,Air Force,MWC,MWC,6.912499999999998,4.288750000000002,1633.25,2.125,25.5,36.0,7.806249999999997,4.415000000000001,1635.0,1.375,20.75,28.875
35,Georgia State,2014,3,0,H,Air Force,Sun Belt,MWC,8.905,4.775,1659.5,2.5,34.5,69.0,9.031249999999996,4.5150000000000015,1657.75,1.0,25.5,30.75
36,Boise State,2014,5,0,A,Air Force,MWC,MWC,7.926250000000002,3.9212499999999983,1733.375,2.125,29.375,60.25,7.9687499999999964,4.681250000000001,1697.625,1.125,26.5,31.0
37,Navy,2014,6,0,A,Air Force,Independent,MWC,6.58125,5.964999999999998,1932.625,1.5,26.625,28.375,8.678749999999997,4.6400000000000015,1684.25,0.875,29.0,34.125
38,Utah State,2014,7,1,H,Air Force,MWC,MWC,7.1,2.9925000000000024,1906.875,1.875,24.875,64.375,7.908749999999997,4.087500000000001,1759.75,1.25,25.75,34.0
39,New Mexico,2014,8,0,A,Air Force,MWC,MWC,6.746250000000006,5.952500000000002,1936.0,1.625,24.0,42.0,9.096249999999996,3.873750000000001,1799.5,1.375,25.5,30.875
40,Army,2014,10,0,H,Air Force,Independent,MWC,6.232499999999994,4.798750000000002,1809.125,1.75,19.0,43.75,9.892499999999997,3.842500000000001,1888.125,1.375,25.75,27.125
41,UNLV,2014,11,0,H,Air Force,MWC,MWC,6.428749999999999,2.9587500000000007,1592.75,2.0,19.25,59.125,11.897499999999997,4.0237500000000015,1967.5,1.375,30.125,28.375
42,Nevada,2014,12,0,A,Air Force,MWC,MWC,6.112499999999999,4.487500000000001,1866.875,1.0,31.875,44.375,12.089999999999996,4.318750000000001,1951.75,1.125,34.125,31.25
43,San Diego State,2014,13,1,H,Air Force,MWC,MWC,6.982500000000002,5.26375,1870.875,1.625,24.875,62.0,11.098749999999995,4.138750000000001,1876.25,1.625,29.875,31.25
44,Colorado State,2014,14,0,A,Air Force,MWC,MWC,10.636249999999999,4.691249999999999,1786.25,1.125,37.875,56.875,11.723749999999995,4.02125,1868.0,1.5,29.75,27.25
45,Western Michigan,2014,17,0,N,Air Force,MAC,MWC,10.415,4.14625,1979.75,2.0,34.875,46.5,11.466249999999995,4.06,1894.875,1.625,30.75,24.25
46,San Jose State,2015,2,0,A,Air Force,MWC,MWC,5.812499999999995,4.42375,1718.375,2.0,17.875,31.75,10.773749999999996,4.455,1921.5,1.25,33.375,26.5
47,Michigan State,2015,3,1,H,Air Force,Big 10,MWC,8.223750000000003,4.498749999999999,1994.75,0.875,37.25,49.75,10.634999999999996,4.68375,1897.125,1.5,31.625,37.75
48,Navy,2015,5,1,H,Air Force,AAC,MWC,7.757499999999999,5.363749999999998,1907.125,1.25,32.75,29.0,9.926249999999996,4.65125,1833.5,1.875,30.125,40.25
49,Wyoming,2015,6,0,A,Air Force,MWC,MWC,6.558749999999997,3.63125,2037.25,2.25,18.5,50.625,8.139999999999997,4.6775,1785.25,2.0,28.0,40.25
50,Colorado State,2015,7,1,H,Air Force,MWC,MWC,7.063750000000001,3.3737500000000002,1808.25,2.0,22.125,71.25,8.134999999999998,4.62,1802.75,2.25,25.25,39.875
51,Fresno State,2015,8,0,A,Air Force,MWC,MWC,4.998750000000006,3.7987499999999965,1525.25,1.75,17.5,37.25,8.714999999999998,4.918749999999999,1942.125,1.875,28.75,42.125
52,Hawaii,2015,9,0,H,Air Force,MWC,MWC,5.5349999999999975,1.9612499999999988,1449.625,2.875,11.125,70.25,8.701249999999998,5.186249999999999,2048.5,1.75,32.625,44.0
53,Army,2015,10,0,A,Air Force,Independent,MWC,11.676249999999992,4.71875,1830.625,1.5,18.75,40.625,9.688749999999997,5.1525,2029.75,1.625,30.375,41.375
54,Utah State,2015,11,0,A,Air Force,MWC,MWC,8.169999999999995,4.303749999999999,1719.75,1.5,33.875,52.75,11.408749999999996,4.981249999999999,2037.625,1.5,30.125,37.875
55,Boise State,2015,12,0,H,Air Force,MWC,MWC,7.800000000000007,3.6862499999999994,1829.25,2.0,40.125,49.625,11.518749999999995,5.0562499999999995,2075.625,1.625,32.125,33.25
56,New Mexico,2015,13,1,H,Air Force,MWC,MWC,8.580000000000007,5.023750000000002,1810.375,1.875,27.125,53.0,12.063749999999995,5.331249999999999,2044.0,1.5,35.125,31.875
57,San Diego State,2015,14,1,H,Air Force,MWC,MWC,9.968750000000002,5.331249999999999,2045.375,0.5,36.875,58.875,11.461249999999996,5.514999999999999,2029.875,1.25,34.25,29.25
58,California,2015,17,1,N,Air Force,PAC 12,MWC,9.013749999999995,4.646249999999998,1641.0,1.625,34.5,47.75,11.632499999999997,5.5874999999999995,2026.375,1.375,35.875,29.5
59,Georgia State,2016,2,0,A,Air Force,Sun Belt,MWC,8.203750000000003,2.8775,1691.5,1.125,25.25,63.25,11.107499999999996,5.561249999999999,2045.875,1.25,36.625,28.5
60,Utah State,2016,4,0,H,Air Force,MWC,MWC,6.139999999999995,3.3675,1706.0,1.875,22.75,39.0,11.082499999999996,5.32625,1936.25,1.25,32.75,33.0
61,Navy,2016,5,0,A,Air Force,AAC,MWC,11.487499999999997,4.987499999999998,1894.125,1.125,32.25,20.25,11.273749999999996,5.2124999999999995,1950.25,1.375,33.75,39.25
62,Wyoming,2016,6,1,H,Air Force,MWC,MWC,7.407499999999997,4.017500000000003,1778.875,2.25,24.875,55.375,10.517499999999997,5.08625,1866.75,1.875,32.625,42.375
63,New Mexico,2016,7,1,A,Air Force,MWC,MWC,7.301250000000007,5.857500000000003,2125.625,1.625,34.75,54.75,9.796249999999997,4.967499999999999,1840.75,1.375,33.0,40.25
64,Hawaii,2016,8,1,A,Air Force,MWC,MWC,7.876249999999997,5.08125,1755.625,2.0,29.25,70.375,8.741249999999997,4.796249999999999,1926.375,1.375,32.0,42.875
65,Fresno State,2016,9,0,H,Air Force,MWC,MWC,6.403750000000004,2.7262499999999967,1693.125,1.75,19.25,60.625,9.691249999999997,4.527499999999999,1973.5,1.5,32.875,47.625
66,Army,2016,10,0,H,Air Force,Independent,MWC,8.854999999999993,4.671249999999998,2124.0,2.0,25.0,43.875,11.158749999999998,4.4537499999999985,1974.25,1.25,32.25,54.125
67,Colorado State,2016,11,0,A,Air Force,MWC,MWC,8.095000000000002,4.5562499999999995,1828.75,0.875,30.375,47.125,10.994999999999997,4.646249999999998,1883.125,1.5,32.375,54.875
68,San Jose State,2016,12,0,H,Air Force,MWC,MWC,7.238749999999995,3.7912500000000007,1819.25,1.5,21.75,40.875,10.497499999999997,5.042499999999998,1880.0,1.75,34.125,57.25
69,Boise State,2016,13,0,A,Air Force,MWC,MWC,10.605000000000004,4.617500000000001,1656.625,1.125,36.5,28.125,9.293749999999998,5.144999999999998,1950.875,1.75,34.0,52.25
70,South Alabama,2016,17,0,N,Air Force,Sun Belt,MWC,8.358749999999997,3.7325,1734.25,1.875,25.625,72.625,10.644999999999998,5.169999999999997,2059.125,1.25,36.375,49.75
71,Michigan,2017,3,1,H,Air Force,Big 10,MWC,6.9624999999999995,4.127499999999997,1901.625,1.375,31.125,55.125,10.074999999999998,4.9587499999999975,2072.875,1.375,33.0,48.25
72,San Diego State,2017,4,1,A,Air Force,MWC,MWC,7.933750000000003,5.49,1813.625,1.0,31.125,49.25,10.512499999999998,4.858749999999998,2052.5,1.125,32.625,50.375
73,New Mexico,2017,5,1,H,Air Force,MWC,MWC,10.862500000000006,6.261250000000002,1933.75,1.25,31.0,54.0,10.262499999999998,4.771249999999998,2054.5,1.25,33.5,46.375
74,Navy,2017,6,1,H,Air Force,AAC,MWC,12.586249999999998,5.806249999999998,1923.25,1.625,32.25,34.125,9.619999999999997,4.9449999999999985,2026.875,1.375,35.25,37.125
75,UNLV,2017,7,0,A,Air Force,MWC,MWC,7.453749999999998,5.5287500000000005,1807.5,0.875,31.25,36.625,9.978749999999998,4.696249999999998,2027.875,1.625,33.375,39.625
76,Nevada,2017,8,0,H,Air Force,MWC,MWC,7.301249999999997,4.7212499999999995,1523.5,1.25,29.5,40.375,10.122499999999999,4.542499999999999,2112.375,1.625,33.875,36.25
77,Colorado State,2017,9,0,H,Air Force,MWC,MWC,9.136250000000002,5.1012499999999985,1830.5,1.375,32.625,58.75,11.184999999999999,4.729999999999999,2113.75,1.625,36.125,36.0
78,Army,2017,10,1,A,Air Force,Independent,MWC,3.3462499999999924,5.823749999999998,2114.0,0.875,26.125,33.875,9.587499999999999,4.544999999999998,1995.5,1.625,30.5,34.75
79,Wyoming,2017,11,1,A,Air Force,MWC,MWC,6.721249999999996,3.3800000000000043,1592.25,1.0,26.75,42.25,9.692499999999999,4.532499999999998,2005.0,1.875,30.625,38.0
80,Boise State,2017,12,1,H,Air Force,MWC,MWC,8.472500000000002,4.062500000000001,1850.5,0.5,35.875,47.25,10.111249999999998,4.517499999999997,1994.375,2.125,30.0,39.375
81,Utah State,2017,13,0,A,Air Force,MWC,MWC,6.903749999999999,4.857500000000002,1450.0,1.5,30.0,51.875,9.357499999999998,4.664999999999997,2013.625,2.0,30.0,38.75
82,Florida Atlantic,2018,2,1,H,Air Force,CUSA,MWC,10.337499999999995,4.903749999999999,1717.5,0.875,37.375,52.625,8.868749999999999,4.358749999999997,2053.0,1.875,27.75,41.875
83,Utah State,2018,4,1,H,Air Force,MWC,MWC,6.978749999999998,5.2025000000000015,1411.875,1.5,33.0,56.0,8.624999999999998,4.186249999999997,2131.375,1.5,27.5,43.0
84,Nevada,2018,5,1,A,Air Force,MWC,MWC,6.897499999999998,4.259999999999999,1638.25,2.0,29.75,56.25,8.523749999999998,3.808749999999997,2038.0,1.5,25.0,40.75
85,Navy,2018,6,0,A,Air Force,AAC,MWC,5.114999999999997,4.712499999999999,2143.0,0.75,24.125,23.875,8.298749999999998,3.6949999999999976,1972.875,1.375,23.75,41.25
86,San Diego State,2018,7,1,H,Air Force,MWC,MWC,7.2250000000000005,5.674999999999999,1685.375,1.375,26.625,71.0,7.764999999999999,3.902499999999998,2046.5,1.5,25.875,46.375
87,UNLV,2018,8,0,H,Air Force,MWC,MWC,5.738749999999998,5.02375,1813.25,1.25,28.0,31.125,9.237499999999999,4.339999999999998,2038.625,1.375,29.25,49.0
88,Boise State,2018,9,1,A,Air Force,MWC,MWC,9.197500000000003,3.955000000000001,1957.625,1.125,40.125,53.0,10.022499999999999,4.388749999999998,2055.75,1.0,31.625,44.25
89,Army,2018,10,1,H,Air Force,Independent,MWC,10.227499999999992,4.674999999999998,2415.25,0.375,33.25,50.875,10.7975,4.214999999999998,1940.375,1.0,28.625,49.875
90,New Mexico,2018,11,0,A,Air Force,MWC,MWC,7.286250000000005,3.726250000000002,1630.625,2.125,28.25,51.875,12.241249999999999,4.642499999999998,1965.5,1.25,30.5,45.0
91,Wyoming,2018,12,1,H,Air Force,MWC,MWC,6.7012499999999955,4.323750000000003,1704.875,1.0,19.0,42.5,12.09625,4.868749999999999,1927.375,1.375,29.875,45.125
92,Colorado State,2018,13,0,A,Air Force,MWC,MWC,7.277500000000002,3.042499999999998,1933.0,2.0,21.75,59.875,12.0975,5.224999999999998,1999.625,1.125,30.125,42.0
93,Ohio State,2011,1,1,H,Akron,Big 10,MAC,10.46,4.39,2170.0,1.0,42.0,29.0,2.89,1.3,1430.0,1.0,0.0,35.0
94,Temple,2011,2,1,A,Akron,MAC,MAC,5.84,6.22,1839.0,1.0,41.0,34.0,4.785,1.4,1595.5,1.5,1.5,47.5
95,Cincinnati,2011,3,1,H,Akron,Big East,MAC,7.62,5.01,1571.0,0.5,41.0,42.5,5.226666666666667,2.1966666666666668,1668.6666666666667,3.0,5.666666666666667,57.666666666666664
96,Eastern Michigan,2011,5,1,H,Akron,MAC,MAC,7.263333333333333,3.3833333333333333,1911.0,2.0,13.333333333333334,44.666666666666664,5.325,2.67,1655.25,2.5,10.0,55.0
97,FIU,2011,6,1,A,Akron,Sun Belt,MAC,8.286666666666667,4.006666666666667,1767.0,0.8333333333333334,27.833333333333332,58.0,5.626,2.836,1623.6,2.4,11.4,52.4
98,Ohio,2011,8,1,A,Akron,MAC,MAC,8.334285714285715,4.475714285714285,1688.2857142857142,2.2857142857142856,32.142857142857146,64.28571428571429,5.536666666666666,2.748333333333333,1656.0,2.1666666666666665,12.833333333333334,53.0
99,Central Michigan,2011,9,1,A,Akron,MAC,MAC,7.454999999999998,4.4275,1773.75,2.125,23.0,40.875,5.682857142857143,2.9528571428571424,1674.857142857143,2.0,14.142857142857142,50.42857142857143
100,Miami OH,2011,10,1,H,Akron,MAC,MAC,8.35625,2.43875,1663.25,1.75,24.25,47.75,5.32375,2.9799999999999995,1660.25,2.0,12.75,47.0
101,Kent State,2011,11,1,A,Akron,MAC,MAC,5.29125,3.12,1832.875,2.0,15.125,75.125,5.478750000000001,3.0862499999999993,1666.25,2.0,13.125,47.5
102,Buffalo,2011,12,1,H,Akron,MAC,MAC,5.727499999999999,4.106249999999998,1711.625,1.5,20.25,45.625,5.255000000000001,3.1912499999999993,1650.875,2.0,14.0,43.75
103,Western Michigan,2011,13,1,H,Akron,MAC,MAC,8.228750000000002,3.93375,1679.625,2.25,38.5,63.25,4.666250000000001,3.1674999999999995,1676.125,1.875,14.625,38.25
104,UCF,2012,1,1,A,Akron,CUSA,MAC,8.536249999999999,4.090000000000001,1962.625,1.25,30.75,49.375,4.556250000000001,2.9762499999999994,1683.125,2.25,13.5,34.25
105,FIU,2012,2,1,H,Akron,Sun Belt,MAC,6.50125,3.9349999999999996,1777.5,1.375,26.125,64.625,4.427500000000001,2.8987499999999993,1734.5,2.125,16.125,42.625
106,Tennessee,2012,4,1,H,Akron,SEC,MAC,6.783749999999997,3.3212499999999996,1824.125,1.625,21.25,42.5,4.375000000000002,3.162499999999999,1721.75,2.375,16.875,40.625
107,Miami OH,2012,5,1,A,Akron,MAC,MAC,8.748750000000003,2.64375,1848.75,1.25,26.25,36.375,4.851250000000001,3.5199999999999996,1669.25,2.375,20.25,47.75
108,Bowling Green,2012,6,1,A,Akron,MAC,MAC,5.983750000000001,4.517500000000001,1650.625,1.75,19.75,48.5,5.070000000000001,3.5462499999999997,1680.125,2.25,21.125,51.75
109,Ohio,2012,7,1,H,Akron,MAC,MAC,7.628750000000004,4.237499999999999,1850.75,0.875,29.875,51.5,5.2562500000000005,3.8762499999999998,1697.125,2.375,24.25,53.75
110,Northern Illinois,2012,8,1,A,Akron,MAC,MAC,7.7875000000000005,5.259999999999999,1605.75,1.25,37.25,56.375,5.321250000000001,3.72625,1694.75,2.5,23.875,58.375
111,Central Michigan,2012,9,1,H,Akron,MAC,MAC,7.206249999999998,3.83125,1734.25,1.5,24.125,36.25,5.976250000000001,3.88,1652.5,2.125,23.25,62.125
112,Kent State,2012,10,1,H,Akron,MAC,MAC,6.3737499999999985,5.5475,1958.125,1.0,33.125,54.25,6.312500000000001,4.0675,1676.625,1.75,24.5,69.75
113,Toledo,2012,13,1,H,Akron,MAC,MAC,7.944999999999999,5.4312499999999995,1842.25,1.875,34.875,68.875,6.307500000000001,3.9862499999999996,1662.375,1.75,22.625,64.0
114,UCF,2013,1,1,H,Akron,AAC,MAC,8.936249999999998,4.828749999999999,1852.25,0.75,37.5,32.75,6.303750000000001,3.9124999999999996,1653.0,1.625,20.25,65.125
115,Michigan,2013,3,1,H,Akron,Big 10,MAC,9.77625,4.388749999999999,1809.5,2.25,36.5,48.625,5.801250000000001,3.47875,1731.5,1.75,17.125,58.375
116,Louisiana Lafayette,2013,4,1,A,Akron,Sun Belt,MAC,8.112499999999999,5.033750000000001,1822.0,1.625,30.625,32.625,6.165000000000001,3.67625,1724.25,1.875,19.625,54.375
117,Bowling Green,2013,5,1,H,Akron,MAC,MAC,7.568749999999999,3.7925000000000004,2026.0,1.25,25.875,46.5,6.135000000000002,3.5625,1702.125,1.625,17.875,48.75
118,Ohio,2013,6,1,A,Akron,MAC,MAC,7.7587500000000045,3.6675000000000004,1815.25,1.25,25.375,43.625,5.943750000000001,3.6,1733.25,1.5,17.375,57.25
119,Northern Illinois,2013,7,1,H,Akron,MAC,MAC,6.350000000000001,5.29875,1743.25,1.375,37.25,56.25,5.698750000000001,3.37875,1768.75,1.375,18.125,60.625
120,Miami OH,2013,8,0,H,Akron,MAC,MAC,5.856250000000005,2.6387499999999995,1623.5,1.625,11.75,41.0,5.656250000000001,3.3425000000000002,1781.625,1.625,18.125,56.125
121,Ball State,2013,9,1,A,Akron,MAC,MAC,8.382499999999999,4.685000000000002,1667.0,2.0,38.0,29.875,5.690000000000001,3.7062500000000003,1792.125,1.875,18.25,55.375
122,Kent State,2013,10,0,A,Akron,MAC,MAC,6.053749999999998,4.601249999999999,1762.0,1.75,17.75,52.75,5.8900000000000015,3.687500000000001,1833.75,1.75,19.375,52.375
123,Massachusetts,2013,12,0,H,Akron,MAC,MAC,5.97875,3.4825000000000004,1787.25,1.75,12.875,40.875,5.883750000000001,3.7025000000000006,1806.25,1.875,18.125,51.375
124,Toledo,2013,14,0,A,Akron,MAC,MAC,7.46875,6.104999999999998,1792.875,1.375,37.0,51.75,6.028750000000001,3.3862500000000004,1825.5,1.75,18.25,57.75
125,Penn State,2014,2,1,H,Akron,Big 10,MAC,8.296249999999997,4.03625,1854.375,1.875,23.875,39.375,5.9212500000000015,3.2462500000000003,1866.0,1.75,16.875,64.5
126,Marshall,2014,4,1,A,Akron,CUSA,MAC,8.53375,5.247499999999997,1753.0,1.375,42.625,67.5,6.040000000000001,3.56625,1832.75,2.0,18.625,59.375
127,Pittsburgh,2014,5,0,H,Akron,ACC,MAC,7.012499999999996,4.331250000000001,2005.875,1.625,25.875,48.875,6.216250000000001,3.77,1784.125,2.0,18.75,56.0
128,Eastern Michigan,2014,6,0,A,Akron,MAC,MAC,4.713749999999997,3.2387499999999996,1558.0,3.0,13.5,44.125,6.217500000000001,4.092499999999999,1792.5,1.625,19.625,66.5
129,Miami OH,2014,7,0,A,Akron,MAC,MAC,6.7312500000000055,3.2824999999999998,1698.75,1.875,21.25,61.5,6.043750000000001,3.959999999999999,1806.25,1.5,20.25,75.375
130,Ohio,2014,8,1,H,Akron,MAC,MAC,7.190000000000007,3.8025000000000007,1673.25,1.875,17.0,67.625,5.992500000000001,3.919999999999999,1771.0,1.75,20.75,82.625
131,Ball State,2014,9,1,H,Akron,MAC,MAC,6.838749999999997,3.900000000000002,1743.125,0.75,30.0,33.25,5.846250000000001,3.918749999999999,1775.125,2.0,21.625,84.5
132,Bowling Green,2014,11,1,A,Akron,MAC,MAC,6.376249999999997,4.227500000000001,1548.375,1.75,31.0,67.25,5.371250000000001,4.049999999999999,1756.75,2.5,19.0,82.125
133,Buffalo,2014,12,1,H,Akron,MAC,MAC,7.28625,4.032499999999994,1947.625,2.0,30.0,55.875,5.381250000000001,3.9887499999999996,1716.25,2.75,21.625,86.375
134,Massachusetts,2014,13,0,A,Akron,MAC,MAC,7.91875,3.22875,1738.5,2.5,28.875,56.125,5.665000000000002,3.9412499999999993,1777.625,2.5,23.25,79.625
135,Kent State,2014,14,1,H,Akron,MAC,MAC,6.157499999999997,3.9574999999999987,1777.375,2.125,19.125,52.875,5.472500000000002,4.13875,1802.375,2.625,23.625,79.0
136,Oklahoma,2015,1,1,H,Akron,Big 12,MAC,6.243750000000004,6.092500000000001,1870.5,2.375,33.875,53.5,5.007500000000002,3.7375,1794.125,2.75,20.125,71.25
137,Pittsburgh,2015,2,1,A,Akron,ACC,MAC,9.192499999999995,5.070000000000002,2075.75,1.25,31.875,46.875,4.785000000000002,3.4725,1714.625,2.625,17.375,65.875
138,Louisiana Lafayette,2015,4,0,H,Akron,Sun Belt,MAC,7.863749999999999,5.4125000000000005,1986.875,1.0,32.25,49.0,5.082500000000002,3.7075000000000005,1754.375,2.375,19.25,67.0
139,Ohio,2015,5,1,A,Akron,MAC,MAC,7.248750000000003,3.9662500000000014,1895.25,1.625,25.0,55.125,5.201250000000002,3.5612500000000002,1768.75,1.875,18.125,71.25
140,Eastern Michigan,2015,6,0,H,Akron,MAC,MAC,8.212499999999999,4.236249999999999,1570.5,2.25,24.625,57.125,5.858750000000002,3.7825,1843.5,1.25,22.75,71.125
141,Bowling Green,2015,7,1,H,Akron,MAC,MAC,9.781249999999996,3.94625,1806.375,0.75,42.0,89.25,5.717500000000002,3.98,1904.125,1.5,21.0,67.625
142,Central Michigan,2015,9,1,A,Akron,MAC,MAC,7.801249999999995,2.945,1996.5,1.375,25.75,51.25,5.705000000000002,3.6525000000000003,1856.625,1.375,18.0,66.875
143,Massachusetts,2015,10,0,H,Akron,MAC,MAC,6.218750000000003,3.705000000000001,1584.875,1.5,22.5,76.875,5.941250000000002,3.34125,1889.375,1.5,17.125,67.625
144,Miami OH,2015,11,0,H,Akron,MAC,MAC,6.661250000000007,3.4374999999999996,1787.375,2.75,17.0,55.25,6.505000000000002,3.485,1877.125,1.625,21.375,69.875
